id,court,num_documents,num_main_documents,num_available,num_main_available,num_main_rss_documents
17090923,cacd,4,4,0,0,4
69635842,cand,9,8,1,1,7
69629898,flmd,6,4,3,1,3
69646430,flmd,6,4,0,0,0
