pk 	 fp 	 name
8538 	 financial-disclosures/2017/Bade-BS. M. 09. AZ _R_17.tiff 	 xx
8786 	 financial-disclosures/2017/Baer-JS B. 07. ILN _R_17.tiff 	 xx
148 	 financial-disclosures/2017/Bailey-JP. J3. 04. WVN Resp_R_17.tiff 	 xx
xxx 	 financial-disclosures/2014/M-Q/McNiff-PJ B. 10. WY_Resp_R_14.tiff 	 Peter J Mcniff
2184 	 financial-disclosures/2014/M-Q/McNamee-SM. J3. 09. AZ_R_14.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_079.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_080.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_077.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_078.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_075.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_076.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_073.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_074.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_071.tiff 	 xx
189 	 financial-disclosures/2014/A-F/Barry-MT. J3. 03_14/Barry-MT J3. 03. SIA_R_14_Page_072.tiff 	 xx
963 	 financial-disclosures/judicial-watch/David M Ebel Financial Disclosure Report for 2006.pdf 	 xx
963 	 financial-disclosures/judicial-watch/David M Ebel Financial Disclosure Report for 2005.pdf 	 xx
2806 	 financial-disclosures/judicial-watch/David L Russell Financial Disclosure Report for 2010.pdf 	 xx
2806 	 financial-disclosures/judicial-watch/David L Russell Financial Disclosure Report for 2009.pdf 	 xx
963 	 financial-disclosures/judicial-watch/David M Ebel Financial Disclosure Report for 2004.pdf 	 xx
963 	 financial-disclosures/judicial-watch/David M Ebel Financial Disclosure Report for 2003.pdf 	 xx
2806 	 financial-disclosures/judicial-watch/David L Russell Financial Disclosure Report for 2006.pdf 	 xx
2806 	 financial-disclosures/judicial-watch/David L Russell Financial Disclosure Report for 2005.pdf 	 xx
2806 	 financial-disclosures/judicial-watch/David L Russell Financial Disclosure Report for 2008.pdf 	 xx
2806 	 financial-disclosures/judicial-watch/David L Russell Financial Disclosure Report for 2007.pdf 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_56.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_55.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_54.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_53.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_52.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_51.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_50.tiff 	 xx
3371 	 financial-disclosures/2017/Wardlaw-KM J3. 09. _SPE_R_17/Wardlaw-KM J3. 09. _SPE_R_17_Page_49.tiff 	 xx
1647 	 financial-disclosures/judicial-watch/William P Johnson Financial Disclosure Report for 2006.pdf 	 xx
1492 	 financial-disclosures/2015/A-H/Hollander-EL. J3. 04. MD_R_15.tiff 	 xx
8793 	 financial-disclosures/2015/A-H/Hollis-PS B. 07. ILN_R_15.tiff 	 xx
8921 	 financial-disclosures/2015/A-H/Hoffman, Jr.-JE. B. 06. OHS_SPE_R_15.tiff 	 xx
xxx 	 financial-disclosures/2015/A-H/Hoffman-CW M. 09. NV_R_15.tiff 	 Carl W Hoffman
9534 	 financial-disclosures/2015/A-H/Hodges-SV M. 04. SC_SPE_R_15.tiff 	 xx
1477 	 financial-disclosures/2015/A-H/Hodges-WT. J3. 11. FLM_R_15.tiff 	 xx
1488 	 financial-disclosures/2015/A-H/HoldermanJR-JF. J3. 07. ILN_Final_R_15.tiff 	 xx
1489 	 financial-disclosures/2015/A-H/Holland-HR. J3. 09. AK_R_15.tiff 	 xx
8823 	 financial-disclosures/2015/A-H/Hoffman-MS B. 01. MA_R_15.tiff 	 xx
1484 	 financial-disclosures/2015/A-H/Hogan-TF J3. DC. DC_R_15.tiff 	 xx
2394 	 financial-disclosures/judicial-watch/Alan H Nevas Financial Disclosure Report for 2004.pdf 	 xx
2394 	 financial-disclosures/judicial-watch/Alan H Nevas Financial Disclosure Report for 2005.pdf 	 xx
2427 	 financial-disclosures/judicial-watch/Alan E Norris Financial Disclosure Report for 2003.pdf 	 xx
2427 	 financial-disclosures/judicial-watch/Alan E Norris Financial Disclosure Report for 2004.pdf 	 xx
1971 	 financial-disclosures/judicial-watch/Alan D Lourie Financial Disclosure Report for 2009.pdf 	 xx
1971 	 financial-disclosures/judicial-watch/Alan D Lourie Financial Disclosure Report for 2010.pdf 	 xx
2427 	 financial-disclosures/judicial-watch/Alan E Norris Financial Disclosure Report for 2010.pdf 	 xx
2394 	 financial-disclosures/judicial-watch/Alan H Nevas Financial Disclosure Report for 2003.pdf 	 xx
2427 	 financial-disclosures/judicial-watch/Alan E Norris Financial Disclosure Report for 2008.pdf 	 xx
2427 	 financial-disclosures/judicial-watch/Alan E Norris Financial Disclosure Report for 2009.pdf 	 xx
xxx 	 financial-disclosures/2011/F-M/Feeney-JN. B. 01. MA Res_R_11.tiff 	 Joan N Feeney
xxx 	 financial-disclosures/2011/F-M/Federman-RC. MP. 09. CAC.tiff 	 Rita Coyne Federman
xxx 	 financial-disclosures/2011/F-M/Federman-AB. B. 08. MOW_R_11.tiff 	 Arthur B Federman
1035 	 financial-disclosures/2011/F-M/Fay-PT, J3. 11.tiff 	 xx
1034 	 financial-disclosures/2011/F-M/Fawsett-PC. J3. 11. FLM_R_11.tiff 	 xx
1033 	 financial-disclosures/2011/F-M/Farris-J. J3. 09.tiff 	 xx
8777 	 financial-disclosures/2011/F-M/Faris-RJ. B. 09. HI Res_R_11.tiff 	 xx
9137 	 financial-disclosures/2011/F-M/Fallon-SR. M. 03. DE. initial.tiff 	 xx
2733 	 financial-disclosures/judicial-watch/James L Robart Financial Disclosure Report for 2008.pdf 	 xx
2733 	 financial-disclosures/judicial-watch/James L Robart Financial Disclosure Report for 2007.pdf 	 xx
2733 	 financial-disclosures/judicial-watch/James L Robart Financial Disclosure Report for 2006.pdf 	 xx
2733 	 financial-disclosures/judicial-watch/James L Robart Financial Disclosure Report for 2005.pdf 	 xx
9121 	 financial-disclosures/2016/Tafoya-KM. M. 10. CO_R_16.tiff 	 xx
2461 	 financial-disclosures/judicial-watch/James L Oakes Financial Disclosure Report for 2005.pdf 	 xx
xxx 	 financial-disclosures/2011/F-M/Fehling-RE. B. 03. PAE.tiff 	 Richard E Fehling
1037 	 financial-disclosures/2011/F-M/Feess-GA. J3. 09. CAC_R_11.tiff 	 xx
568 	 financial-disclosures/judicial-watch/Ruben Castillo Financial Disclosure Report for 2010.pdf 	 xx
568 	 financial-disclosures/judicial-watch/Ruben Castillo Financial Disclosure Report for 2009.pdf 	 xx
568 	 financial-disclosures/judicial-watch/Ruben Castillo Financial Disclosure Report for 2008.pdf 	 xx
568 	 financial-disclosures/judicial-watch/Ruben Castillo Financial Disclosure Report for 2007.pdf 	 xx
568 	 financial-disclosures/judicial-watch/Ruben Castillo Financial Disclosure Report for 2006.pdf 	 xx
568 	 financial-disclosures/judicial-watch/Ruben Castillo Financial Disclosure Report for 2005.pdf 	 xx
568 	 financial-disclosures/judicial-watch/Ruben Castillo Financial Disclosure Report for 2004.pdf 	 xx
1844 	 financial-disclosures/judicial-watch/Royce C Lamberth Financial Disclosure Report for 2010.pdf 	 xx
1844 	 financial-disclosures/judicial-watch/Royce C Lamberth Financial Disclosure Report for 2009.pdf 	 xx
1844 	 financial-disclosures/judicial-watch/Royce C Lamberth Financial Disclosure Report for 2008.pdf 	 xx
3156 	 financial-disclosures/2016/Sykes-DS J3. 07. _R_16.tiff 	 xx
1151 	 financial-disclosures/2015/A-H/Garcia-Gregory-JA. J3. 01. PR_R_15.tiff 	 xx
xxx 	 financial-disclosures/2015/A-H/Garcia-GR. M. 05. TXS_R_15.tiff 	 Guillermo R Garcia
xxx 	 financial-disclosures/2015/A-H/Garcia Marmolejo, Marian J3. 05. TXS_R_15.tiff 	 Marina Garcia Marmolejo
1146 	 financial-disclosures/2015/A-H/Garbis-MJ. J3. 04. MD_R_15.tiff 	 xx
2852 	 financial-disclosures/2013/N - S/Scalia-A. J3. SUP. -- R_13.tiff 	 xx
1152 	 financial-disclosures/2015/A-H/Gardephe-PG. J3. 02. NYS_Resp_R_15.tiff 	 xx
9599 	 financial-disclosures/2015/A-H/Garcia-VR. M. 05. TXW_R_15.tiff 	 xx
1149 	 financial-disclosures/2015/A-H/Garcia-OL. J3. 05. TXW_R_15.tiff 	 xx
2842 	 financial-disclosures/2013/N - S/Saris-PB. J3. 01. MA_Resp_R_13   2of2.tiff 	 xx
2842 	 financial-disclosures/2013/N - S/Saris-PB. J3. 01. MA_Resp_R_13   1of2.tiff 	 xx
8665 	 financial-disclosures/2013/N - S/Sawyer-WR. B. 11. ALM_R_13.tiff 	 xx
9126 	 financial-disclosures/2015/A-H/Garfinkel-WI. M. 02. CT_R_15.tiff 	 xx
9626 	 financial-disclosures/2013/N - S/Sargent-PM. M. 04. VAW_R_13.tiff 	 xx
8989 	 financial-disclosures/2013/N - S/Santoro-FJ B. 04. VAE_R_13.tiff 	 xx
2841 	 financial-disclosures/2013/N - S/Sargus.Jr-EA. J3. 06. OHS__SPE_R_13.tiff 	 xx
8715 	 financial-disclosures/2013/N - S/Sargis-RH. B. 09. CAE_R_13.tiff 	 xx
2822 	 financial-disclosures/judicial-watch/Howard E Sachs Financial Disclosure Report for 2003.pdf 	 xx
2158 	 financial-disclosures/judicial-watch/Howard D McKibben Financial Disclosure Report for 2010.pdf 	 xx
1647 	 financial-disclosures/judicial-watch/William P Johnson Financial Disclosure Report for 2004.pdf 	 xx
3237 	 financial-disclosures/judicial-watch/Gerald B Tjoflat Financial Disclosure Report for 2004.pdf 	 xx
3237 	 financial-disclosures/judicial-watch/Gerald B Tjoflat Financial Disclosure Report for 2005.pdf 	 xx
2978 	 financial-disclosures/judicial-watch/George Z Singal Financial Disclosure Report for 2010.pdf 	 xx
3237 	 financial-disclosures/judicial-watch/Gerald B Tjoflat Financial Disclosure Report for 2003.pdf 	 xx
2978 	 financial-disclosures/judicial-watch/George Z Singal Financial Disclosure Report for 2008.pdf 	 xx
2978 	 financial-disclosures/judicial-watch/George Z Singal Financial Disclosure Report for 2009.pdf 	 xx
2978 	 financial-disclosures/judicial-watch/George Z Singal Financial Disclosure Report for 2006.pdf 	 xx
2978 	 financial-disclosures/judicial-watch/George Z Singal Financial Disclosure Report for 2007.pdf 	 xx
2978 	 financial-disclosures/judicial-watch/George Z Singal Financial Disclosure Report for 2004.pdf 	 xx
2978 	 financial-disclosures/judicial-watch/George Z Singal Financial Disclosure Report for 2005.pdf 	 xx
9133 	 financial-disclosures/2016/Harvey-GM. M. DC. DC_SPE_R_16.tiff 	 xx
3159 	 financial-disclosures/2016/Tagle-HG. J3. 05. TXS_R_16.tiff 	 xx
672 	 financial-disclosures/judicial-watch/Ransey G Cole Jr Financial Disclosure Report for 2005.pdf 	 xx
1383 	 financial-disclosures/2016/Hartz-HL. J3. 10. --  _R_16.tiff 	 xx
672 	 financial-disclosures/judicial-watch/Ransey G Cole Jr Financial Disclosure Report for 2003.pdf 	 xx
672 	 financial-disclosures/judicial-watch/Ransey G Cole Jr Financial Disclosure Report for 2004.pdf 	 xx
683 	 financial-disclosures/judicial-watch/Raner C Collins Financial Disclosure Report for 2009.pdf 	 xx
683 	 financial-disclosures/judicial-watch/Raner C Collins Financial Disclosure Report for 2010.pdf 	 xx
683 	 financial-disclosures/judicial-watch/Raner C Collins Financial Disclosure Report for 2007.pdf 	 xx
8876 	 financial-disclosures/2016/Harwood-BA  B.01.NH  _R_16.tiff 	 xx
683 	 financial-disclosures/judicial-watch/Raner C Collins Financial Disclosure Report for 2005.pdf 	 xx
683 	 financial-disclosures/judicial-watch/Raner C Collins Financial Disclosure Report for 2006.pdf 	 xx
1387 	 financial-disclosures/2016/Harwell-RB. J3. 04. SC_Resp_R_16.tiff 	 xx
xxx 	 financial-disclosures/2016/Harrison-MF  B.06.TNM  _R_16.tiff 	 Marian F Harrison
9023 	 financial-disclosures/2016/Harris-PS M.08.ARE _R_16.tiff 	 xx
1380 	 financial-disclosures/2016/Hart-WT  J3.07.ILN  _R_16.tiff 	 xx
9502 	 financial-disclosures/2016/Hart-JP  M.03.PAE  _R_16.tiff 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_248.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_247.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_246.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_245.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_252.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_251.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_250.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_249.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_254.tif 	 xx
189 	 financial-disclosures/2011/A-E/Barry-MT/Barry-MT J3. 03_Resp_R_11_Page_253.tif 	 xx
8872 	 financial-disclosures/2016/Hastings-SK. B. 08. ND_SIA_R_16.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_183.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_184.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_181.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_182.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_179.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_180.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_177.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_178.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_175.tiff 	 xx
189 	 financial-disclosures/2012/A-H/Barry-MT. J3. 03 resp  _12/Barry-MT. J3. 03 resp  _12_Page_176.tiff 	 xx
3360 	 financial-disclosures/judicial-watch/Donald E Walter Financial Disclosure Report for 2005.pdf 	 xx
3360 	 financial-disclosures/judicial-watch/Donald E Walter Financial Disclosure Report for 2006.pdf 	 xx
3360 	 financial-disclosures/judicial-watch/Donald E Walter Financial Disclosure Report for 2007.pdf 	 xx
3360 	 financial-disclosures/judicial-watch/Donald E Walter Financial Disclosure Report for 2008.pdf 	 xx
3360 	 financial-disclosures/judicial-watch/Donald E Walter Financial Disclosure Report for 2009.pdf 	 xx
3360 	 financial-disclosures/judicial-watch/Donald E Walter Financial Disclosure Report for 2010.pdf 	 xx
3113 	 financial-disclosures/judicial-watch/Donald J Stohr Financial Disclosure Report for 2003.pdf 	 xx
3113 	 financial-disclosures/judicial-watch/Donald J Stohr Financial Disclosure Report for 2005.pdf 	 xx
3113 	 financial-disclosures/judicial-watch/Donald J Stohr Financial Disclosure Report for 2006.pdf 	 xx
3113 	 financial-disclosures/judicial-watch/Donald J Stohr Financial Disclosure Report for 2007.pdf 	 xx
2144 	 financial-disclosures/2018/H - M/McHugh-CB. J3. 10 Resp_R_18.tiff 	 xx
2140 	 financial-disclosures/2018/H - M/McGovern-WT. J3. 09. WAW_R_18.tiff 	 xx
2126 	 financial-disclosures/2018/H - M/McDade-JB. J3. 07. ILC _R_18.tiff 	 xx
2103 	 financial-disclosures/2018/H - M/McCalla-JP. J3. 06. TNW_R_18.tiff 	 xx
881 	 financial-disclosures/judicial-watch/William P Dimitrouleas Financial Disclosure Report for 2011.pdf 	 xx
4905 	 financial-disclosures/2016/Smith-LA. J1. --. CC _Resp_R_16.tiff 	 xx
8763 	 financial-disclosures/2016/Smith-JP. B. 11. GAM _R_16.tiff 	 xx
9101 	 financial-disclosures/2013/A - G/Brooks-RB. M. 09. CAS_R_13.tiff 	 xx
404 	 financial-disclosures/2013/A - G/Brody-AB J3. 03. PAE_R_13.tiff 	 xx
2150 	 financial-disclosures/2018/H - M/McKeague-DW. J3. 06. -- _R_18.tiff 	 xx
394 	 financial-disclosures/2013/A - G/Briscoe-MB. J3. 10_R_13.tiff 	 xx
9322 	 financial-disclosures/2013/A - G/Brisbois-LI. M. 08. MN_R_13.tiff 	 xx
xxx 	 financial-disclosures/2013/A - G/Bristow-DT. M. 09. CAC_R_13.tiff 	 David T. Bristow
8742 	 financial-disclosures/2013/A - G/Briskman-AB. B. 11. FLM_R_13.tiff 	 xx
xxx 	 financial-disclosures/2013/A - G/Brizendine-RE. B. 11. GAN_R_13.tiff 	 Robert E Brizendine
396 	 financial-disclosures/2013/A - G/Britt-WE. J3. 04. NCE_R_13.tiff 	 xx
403 	 financial-disclosures/2013/A - G/Brodie-MK. J3. 02. NYE_R_13.tiff 	 xx
401 	 financial-disclosures/2013/A - G/Broderick-VS J3. 02. NYS   R_13.tiff 	 xx
xxx 	 financial-disclosures/2014/A-F/Damich-EJ J1. -- CFC_R_14.tiff 	 Edward J Damich
789 	 financial-disclosures/2014/A-F/Dalzell-S J3. 03. PAE_Resp_R_14.tiff 	 xx
786 	 financial-disclosures/2014/A-F/Dalton-RB J3. 11. FLM_R_14.tiff 	 xx
xxx 	 financial-disclosures/2014/A-F/Dalis-JS B. 11. GAS_R_14.tiff 	 John S Dalis
8845 	 financial-disclosures/2014/A-F/Dales-SW B. 06. MIW_R_14.tiff 	 xx
xxx 	 financial-disclosures/2014/A-F/Dale-CW M. 03. ID_Resp_R_14.tiff 	 Candy W Dale
xxx 	 financial-disclosures/2014/A-F/Dabrowski-AS B. 02. CT_R14.tiff 	 Albert S Dabrowski
783 	 financial-disclosures/2014/A-F/D'Agostino-MA J3. 02. NYN_R_14.tiff 	 xx
2202 	 financial-disclosures/2018/H - M/Means-T J3. 05. TXN_R_18.tiff 	 xx
793 	 financial-disclosures/2014/A-F/Daniel-WY J3. 10. CO_Resp_R_14.tiff 	 xx
9431 	 financial-disclosures/2014/A-F/Dancks-TW J. 02. NYN_R_14.tiff 	 xx
1216 	 financial-disclosures/judicial-watch/John Gleeson Financial Disclosure Report for 2007.pdf 	 xx
1216 	 financial-disclosures/judicial-watch/John Gleeson Financial Disclosure Report for 2008.pdf 	 xx
1216 	 financial-disclosures/judicial-watch/John Gleeson Financial Disclosure Report for 2005.pdf 	 xx
2189 	 financial-disclosures/2018/H - M/McNulty-K. J3. 03. NJ_R_18.tiff 	 xx
2738 	 financial-disclosures/judicial-watch/John G Roberts Jr Financial Disclosure Report for 2009.pdf 	 xx
1216 	 financial-disclosures/judicial-watch/John Gleeson Financial Disclosure Report for 2003.pdf 	 xx
2738 	 financial-disclosures/judicial-watch/John G Roberts Jr Financial Disclosure Report for 2003.pdf 	 xx
2738 	 financial-disclosures/judicial-watch/John G Roberts Jr Financial Disclosure Report for 2008.pdf 	 xx
1216 	 financial-disclosures/judicial-watch/John Gleeson Financial Disclosure Report for 2009.pdf 	 xx
1216 	 financial-disclosures/judicial-watch/John Gleeson Financial Disclosure Report for 2010.pdf 	 xx
1944 	 financial-disclosures/judicial-watch/Kermit V Lipez Financial Disclosure Report for 2008.pdf 	 xx
