court_id	docket_no	caption	media_url	media_size	counsel	issues	judges	argued	original_media_url
cafc	2005-5054	EP Productions Inc v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5054.mp3					2006-01-12	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5054.mp3
cafc	2005-1260	PACTIV Corp v DOW Chemical	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1260.mp3					2006-01-12	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1260.mp3
cafc	2005-1375	Infiltrator Systems v Cultec Inc	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1375.mp3					2006-01-12	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1375.mp3
cafc	2005-1375	Infiltrator Systems v Cultec Inc	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1375.mp3					2006-01-12	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1375.mp3
cafc	2005-1260	PACTIV Corp v DOW Chemical	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1260.mp3					2006-01-12	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1260.mp3
cafc	2005-5054	EP Productions Inc v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5054.mp3					2006-01-12	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5054.mp3
cafc	2005-3088	Zwagil v GSA	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3088.mp3					2006-01-12	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-3088.mp3
cafc	2005-1313	Impax Laboratories v Aventis Pharma	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1313.mp3					2006-01-13	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1313.mp3
cafc	2005-1513	Aventis Pharma SA v Amphastar Pharm	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1513.mp3					2006-01-13	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1513.mp3
cafc	2005-1513	Aventis Pharma SA v Amphastar Pharm	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1513.mp3					2006-01-13	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1513.mp3
cafc	2005-1313	Impax Laboratories v Aventis Pharma	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1313.mp3					2006-01-13	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1313.mp3
cafc	2005-5072	NTL Australia Bank v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5072.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5072.mp3
cafc	2005-1314	Applied Medical v US Surgical Corp	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1314.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1314.mp3
cafc	2005-1364	Diversified SpecialT v MayTag Corp	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1364.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1364.mp3
cafc	2005-7155	Deshotel v DVA	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7155.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7155.mp3
cafc	2005-7155	Deshotel v DVA	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7155.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-7155.mp3
cafc	2005-1364	Diversified SpecialT v MayTag Corp	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1364.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1364.mp3
cafc	2005-1314	Applied Medical v US Surgical Corp	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1314.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1314.mp3
cafc	2005-5072	NTL Australia Bank v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5072.mp3					2006-02-06	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-5072.mp3
cafc	2004-5106	Local Oklahoma Bank, NA v US	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2004-5106.mp3					2006-02-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2004-5106.mp3
cafc	2005-1104	Dumarce v Interior	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1104.mp3					2006-02-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1104.mp3
cafc	2005-1412	Bruckelmyer v Ground Heaters	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1412.mp3					2006-02-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1412.mp3
cafc	2005-1412	Bruckelmyer v Ground Heaters	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1412.mp3					2006-02-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1412.mp3
cafc	2005-1104	Dumarce v Interior	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1104.mp3					2006-02-07	http://oralarguments.cafc.uscourts.gov/default.aspx?fl=2005-1104.mp3
