zip_title,dc_identifier,court,lexis_ids_normalized,full_name,date_decided,date_filed,date_argued,date_revised,date_unspecified
US Cases/9th Circuit - US Court of Appeals Cases [PCSI-6393],5P0B-8541-F04K-V2BW-00000-00,United States Court of Appeals for the Ninth Circuit,"{""2017 U.S. App. LEXIS 12309"",""64 Bankr. Ct. Dec. 93"",""862 F.3d 740""}","FREDDY JOE BURTON; JAN PAUL KOCH, Plaintiffs-Appellees, v. INFINITY CAPITAL MANAGEMENT; ANNE PANTELAS; SALVATORE C. GUGINO, Defendants-Appellants, and RONALD J. ISRAEL, Defendant.",2017-07-10,2014-06-04,2013-11-07,,
US Cases/6th Circuit - US Court of Appeals Cases [PCSI-6390],3S4W-V970-003B-T01Y-00000-00,United States Court of Appeals for the Sixth Circuit,"{""5 Lab. Cas. (CCH) P60,860"",""9 L.R.R.M. 494"",""124 F.2d 409"",""1942 U.S. App. LEXIS 4524""}",NATIONAL LABOR RELATIONS BOARD v. BERSTED MFG. CO.,1942-01-07,,,,
