48,290
50,8
53,0
57,0
57,304
59,142
60,803
62,4
62,218
65,71
67,113
69,693
71,49
73,81
74,7
76,1259
77,0
77,750
80,735
82,534
88,850
88,909
91,781
92,3
93,484
95,711
95,719
96,717
97,646
98,213
98,255
99,32
107,1196
110,317
110,403
116,64
116,444
117,129
118,474
122,29
123,670
123,722
130,369
131,254
132,4
133,608
134,3
135,25
135,209
139,35
140,0
140,769
140,806
141,448
142,93
143,280
143,356
143,365
144,148
144,627
146,137
148,159
148,930
149,259
151,3
152,283
155,10
155,315
157,0
157,253
157,272
161,631
163,216
164,376
165,3
165,749
167,434
172,192
177,389
179,0
180,12
181,4
181,110
181,111
183,5
184,122
187,47
187,140
189,138
192,149
193,32
193,134
194,1
194,99
195,149
197,113
197,120
197,163
198,65
198,69
199,169
201,43
202,91
202,108
203,24
204,135
204,139
204,148
205,0
205,121
207,116
207,140
208,78
212,66
212,83
212,94
213,27
215,9
215,14
215,105
216,1
216,159
217,145
220,6
221,142
223,1
223,4
224,1
224,60
227,118
227,120
228,132
229,48
229,59
229,155
232,4
232,73
235,85
236,59
236,143
237,77
237,174
238,134
239,97
239,105
239,115
241,147
243,154
243,157
243,159
243,163
244,85
244,142
244,148
244,153
244,157
244,158
248,126
250,114
251,49
252,3
252,15
253,9
253,127
254,109
265,118
266,111
270,22
270,97
270,119
272,3
274,117
275,92
277,47
285,138
294,124
294,155
297,46
300,139
301,28
301,120
308,155
309,140
310,126
320,117
322,104
322,126
325,135
327,5
328,144
329,49
329,55
330,121
332,1
333,2
340,127
346,103
350,143
351,0
352,7
352,119
353,138
356,19
361,91
361,93
361,153
362,122
369,133
372,4
372,100
374,117
379,4
379,66
386,80
388,133
389,135
389,137
390,16
390,117
390,118
390,119
390,120
390,133
390,134
390,135
391,133
391,136
392,143
392,149
392,157
393,142
393,145
394,135
394,136
394,137
394,138
394,140
394,141
394,142
394,143
394,144
394,145
395,43
395,119
395,145
395,146
395,147
395,148
395,149
396,147
396,148
397,139
397,140
397,141
397,143
398,28
398,123
398,125
398,126
398,127
398,128
399,11
399,114
399,115
399,116
399,169
399,170
400,131
400,134
400,135
400,136
400,137
400,139
400,140
401,114
401,115
401,116
401,129
401,130
401,134
401,135
402,154
402,155
402,157
402,158
402,159
402,160
402,161
403,80
403,135
403,136
403,137
404,108
404,141
405,151
405,152
405,153
406,120
406,136
406,137
407,82
407,160
408,10
408,142
408,143
409,135
410,18
410,134
410,142
410,143
410,145
410,147
411,144
411,145
411,147
411,148
411,149
411,151
411,154
411,155
412,163
412,164
412,165
412,166
412,167
412,169
413,145
413,146
413,149
414,140
414,156
415,158
415,159
416,148
416,149
416,150
416,151
416,152
417,0
417,136
417,141
417,143
417,145
417,146
417,147
419,132
419,133
420,136
420,137
420,140
420,145
420,146
420,147
421,123
421,124
421,125
422,109
422,111
422,113
422,114
422,115
422,116
422,119
422,121
422,122
423,122
423,124
423,125
423,126
423,128
423,130
423,131
423,133
423,135
423,136
423,137
423,138
423,139
423,140
423,141
423,142
423,143
424,140
424,141
425,35
425,112
426,99
426,101
426,152
426,153
427,26
427,97
428,117
428,121
428,122
428,123
428,154
428,155
428,156
431,113
431,126
431,127
432,11
432,151
433,9
433,141
433,142
434,141
434,155
434,157
434,158
435,153
435,154
435,157
436,137
436,138
436,139
436,140
436,145
436,156
436,157
436,159
436,160
437,106
437,129
438,25
438,84
438,87
438,161
438,162
438,163
438,165
438,167
438,168
438,169
439,150
440,2
440,96
440,97
440,98
440,100
440,101
440,132
441,153
441,155
442,86
443,59
443,125
443,126
443,128
443,130
444,154
444,155
444,156
445,147
445,149
445,150
446,8
446,159
446,160
447,82
447,146
447,147
447,148
447,149
447,150
447,151
448,124
448,126
448,127
448,128
449,56
449,139
449,140
449,141
449,142
449,143
450,21
450,70
450,71
450,72
450,126
451,144
451,146
451,147
451,149
451,150
451,152
453,31
453,163
453,165
453,166
453,168
454,27
454,129
454,132
454,135
454,136
454,138
455,113
455,119
456,128
456,129
456,130
456,132
457,96
457,98
457,99
458,123
460,122
460,123
461,128
461,132
461,134
461,137
462,9
462,133
462,134
462,137
462,139
462,141
464,3
464,4
464,5
465,7
465,82
465,84
465,86
465,139
465,143
466,108
466,109
466,111
466,113
466,155
467,41
467,108
467,110
467,149
468,139
468,140
468,141
468,142
468,143
468,155
469,22
469,87
470,35
470,124
470,125
470,126
470,128
471,152
471,153
471,155
471,157
471,160
472,119
472,120
472,121
473,103
473,109
473,118
473,120
473,151
473,155
474,144
475,147
476,89
476,90
476,141
477,26
477,135
477,136
477,137
477,140
478,90
479,3
479,142
480,70
480,128
480,130
481,149
482,11
482,126
482,128
482,148
483,133
484,6
484,81
485,87
485,88
486,132
486,149
487,96
487,133
488,144
